Titulo,Anio,NombreArtista,Genero,URLPortadaAlbum
Imagine,1971,John Lennon,ROCK,https://i.scdn.co/image/ab67616d0000b273e3e3b64cea45265469d4cafa
Hotel California,1976,Eagles,ROCK,https://i.scdn.co/image/ab67616d0000b273723b0ec6d52e8c2f8ada8be6
Thriller,1982,Michael Jackson,POP,https://i.scdn.co/image/ab67616d0000b2735ef878a782c987d38d82b605
Appetite for Destruction,1987,Guns N' Roses,ROCK,https://i.scdn.co/image/ab67616d0000b273a5f73a672801f1e17ba04d2f
Divide,2017,Ed Sheeran,POP,https://i.scdn.co/image/ab67616d0000b273ba5db46f4b838ef6027e6f96
The Joshua Tree,1987,U2,ROCK,https://i.scdn.co/image/ab67616d0000b27348d52041e26c6fbbb17d21ac
