Nombre,Nacionalidad,GeneroPrincipal,GeneroSecundario,URLFotoArtista
John Lennon,Reino Unido,ROCK,POP,https://i.scdn.co/image/ab6761610000e5eb9e528993f44b3e7c13f6d8b1
Eagles,Estados Unidos,ROCK,COUNTRY,https://i.scdn.co/image/ab6761610000e5eb4ccb132dd8d47d0b50b7a4a6
Michael Jackson,Estados Unidos,POP,RNB,https://i.scdn.co/image/ab6761610000e5ebd6ec8a7b0c1e0fc70ccba1ea
Guns N' Roses,Estados Unidos,ROCK,METAL,https://i.scdn.co/image/ab6761610000e5eb5b26c167fb1e2c880e0d8322
Ed Sheeran,Reino Unido,POP,FOLK,https://i.scdn.co/image/ab6761610000e5eb3bcef85e105dfc42399ef0ba
U2,Irlanda,ROCK,ALTERNATIVO,https://i.scdn.co/image/ab6761610000e5eb7c390e0a1d13d4016d8c55f0
